C:\Users\NCEPU\Documents\Visual Studio 2015\Projects\ImportData\ImportData\¹øÂ¯Ğ§ÂÊ01.csv
file	line	process	state
1/1	391	0.87%	faild
1/1	392	0.87%	faild
1/1	393	0.88%	faild
1/1	394	0.88%	faild
1/1	395	0.88%	faild
1/1	396	0.88%	faild
1/1	397	0.88%	faild
1/1	398	0.89%	faild
1/1	399	0.89%	faild
1/1	400	0.89%	faild
1/1	401	0.89%	faild
1/1	402	0.9%	faild
1/1	403	0.9%	faild
1/1	404	0.9%	faild
1/1	405	0.9%	faild
1/1	406	0.9%	faild
1/1	407	0.91%	faild
1/1	408	0.91%	faild
1/1	409	0.91%	faild
1/1	410	0.91%	faild
1/1	411	0.92%	faild
1/1	412	0.92%	faild
1/1	413	0.92%	faild
1/1	414	0.92%	faild
1/1	415	0.93%	faild
1/1	416	0.93%	faild
1/1	417	0.93%	faild
1/1	418	0.93%	faild
1/1	419	0.93%	faild
1/1	420	0.94%	faild
1/1	421	0.94%	faild
1/1	422	0.94%	faild
1/1	423	0.94%	faild
1/1	424	0.95%	faild
1/1	425	0.95%	faild
1/1	426	0.95%	faild
1/1	427	0.95%	faild
1/1	428	0.95%	faild
1/1	429	0.96%	faild
1/1	430	0.96%	faild
1/1	431	0.96%	faild
1/1	432	0.96%	faild
1/1	433	0.97%	faild
1/1	434	0.97%	faild
1/1	435	0.97%	faild
1/1	436	0.97%	faild
1/1	437	0.97%	faild
1/1	438	0.98%	faild
1/1	439	0.98%	faild
1/1	440	0.98%	faild
1/1	441	0.98%	faild
1/1	442	0.99%	faild
1/1	443	0.99%	faild
1/1	444	0.99%	faild
1/1	445	0.99%	faild
1/1	446	0.99%	faild
1/1	447	1%	faild
1/1	448	1%	faild
1/1	449	1%	faild
1/1	450	1%	faild
1/1	451	1%	faild
1/1	452	1%	faild
1/1	453	1%	faild
1/1	454	1%	faild
1/1	455	1%	faild
1/1	456	1%	faild
1/1	457	1%	faild
1/1	458	1%	faild
1/1	459	1%	faild
1/1	460	1%	faild
1/1	461	1%	faild
1/1	462	1%	faild
